Transaction_id,customer_id,Date,Product,Gender,Device_Type,Country,State,City,Category,Customer_Login_type,Delivery_Type, Quantity ,Transaction Start,Transaction_Result,Amount US$,Individual_Price_US$,Year_Month,Time
40170,1348959766,14/11/2013,Hair Band,Female,Web,United States,New York,New York City,Accessories,Member,one-day deliver,12,1,0,"6,910",576,13-Nov,22:35:51
33374,2213674919,05/11/2013,Hair Band,Female,Web,United States,California,Los Angles,Accessories,Member,one-day deliver,17,1,1,"1,699",100,13-Nov,06:44:41
14407,1809450308,01/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,23,1,0,"4,998",217,13-Oct,00:41:24
15472,1691227134,04/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,23,1,0,736,32,13-Oct,22:04:03
18709,2290737237,12/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,23,1,1,"4,389",191,13-Oct,15:00:46
19141,2166771669,13/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,19,1,0,"1,798",95,13-Oct,18:09:02
19922,2134863151,15/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,1,124,6,13-Oct,23:17:59
20737,1183410853,16/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,14,1,1,0,0,13-Oct,19:17:39
21910,1849457093,18/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,1,"1,000",50,13-Oct,00:03:47
23454,2010052101,20/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,23,1,1,602,26,13-Oct,20:52:24
24718,1330443392,22/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,0,"21,500","1,075",13-Oct,18:09:41
25749,1864893410,24/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,1,"1,000",50,13-Oct,11:19:51
26498,1623523846,25/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,1,0,0,13-Oct,13:48:08
28225,1456549032,28/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,23,1,1,0,0,13-Oct,08:09:10
29306,2276213857,30/10/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,14,1,1,"4,900",350,13-Oct,09:39:01
30992,1521344294,01/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,15,1,1,"3,003",200,13-Nov,11:05:12
32839,1699850696,04/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,1,"25,635","1,282",13-Nov,09:17:48
34993,1653948384,07/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,22,1,1,500,23,13-Nov,10:25:27
35184,1475591045,08/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,0,"7,926",396,13-Nov,17:03:30
36749,2017907919,10/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,12,1,0,"2,000",167,13-Nov,10:19:10
36828,1461548878,10/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,22,1,1,"1,108",50,13-Nov,02:36:29
37221,1853984796,11/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,15,1,1,995,66,13-Nov,02:22:43
37505,1958801255,11/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,0,"1,563",78,13-Nov,05:19:56
38987,2267258961,13/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,0,"17,800",890,13-Nov,03:55:42
39098,1556119658,13/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,Normal Delivery,18,1,1,"6,900",383,13-Nov,11:30:25
39215,2257969001,13/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,15,1,1,"1,000",67,13-Nov,00:47:10
40262,2142933445,14/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,21,1,1,"3,990",190,13-Nov,17:37:35
40656,1647079154,15/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,1,"10,023",501,13-Nov,14:46:30
41901,1812505117,17/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,21,1,1,"3,000",143,13-Nov,22:43:55
42504,1409082781,17/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,0,"1,229",61,13-Nov,04:21:08
42517,2083574579,17/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,1,"10,000",500,13-Nov,05:33:24
44967,1514960584,21/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,20,1,0,"7,296",365,13-Nov,05:32:25
48713,1354403579,26/11/2013,Hair Band,Female,Web,United States,Washington,Seattle,Accessories,Member,one-day deliver,14,1,1,"2,879",206,13-Nov,17:43:51
